alert_id,rule_id,ground_truth,t1_attack_utc,t2_alert_utc,detection_latency_seconds,t3_seen_utc,t4_done_utc,condition,analyst_disposition,disposition_correct,assistant_tag,assistant_tag_correct,notes
A15,100206,T1048/T1071.004,2026-07-06T16:20:19.424Z,2026-07-06T16:20:22.901Z,3.477,2026-07-10T13:17:10Z,2026-07-10T13:26:10Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: DNS query with extremely long label (49 'a' characters followed by ""-am-t1071dns-"") from PowerShell (pwsh.exe). The query name format includes ""am-t1071dns"" which appears to be a test marker for T1071.004 (DNS tunneling). PowerShell is not a typical DNS client - normal DNS queries come from system processes, not scripting environments. The long subdomain is characteristic of DNS tunneling (T1048/T1071.004) where data is exfiltrated through DNS queries to a controlled domain."
A16,100111,T1070,2026-07-08T17:53:17Z,2026-07-08T17:53:19.590Z,2.59,2026-07-10T13:31:10Z,2026-07-10T13:42:18Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: /var/log/btmp (failed login log) modified by bash process as root. Audit.key ""t1070_logs"" confirms indicator removal activity. User notroot (auid=1000) escalated to root to modify system log files. Btmp tracks failed login attempts - attackers modify/delete this to cover their tracks and remove evidence of brute-force attempts. This is a defense evasion technique (T1070) where logs are cleared to hinder forensic investigation."
A17,100108,T1547.006/T1014,2026-07-08T17:29:09Z,2026-07-08T17:29:11.354Z,2.354,2026-07-10T13:46:18Z,2026-07-10T13:59:37Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: Kernel module operation using modprobe as root. Audit.key ""t1547_006_kmod"" confirms kernel module manipulation. User notroot (auid=1000) escalated to root (uid=0) to load/unload kernel modules. This is a rootkit technique (T1014) and persistence mechanism (T1547.006) - attackers load malicious kernel modules for stealth,  process hiding and system control. Modprobe is the official tool but is being used in a malicious context."
A18,100201,T1059.001,2026-07-05T10:21:38.629Z,2026-07-05T10:21:42.689Z,4.06,2026-07-10T14:21:37Z,2026-07-10T14:32:37Z,unassisted,True Positive,TRUE,,,"TRUE POSITIVE: PowerShell encoded command execution with ""-EncodedCommand QgBsAGUAcgB0AE0AaQBuAGQAIABFAG4AYwBvAGQAZQBkACAAUABvAHcAZQByAFMAaABlAGwAbAAgAFQAZQBzAHQA"". Decoded base64 reveals ""AlertMind Encoded PowerShell Test"" - a test marker for this attack scenario. Encoded command usage is a common obfuscation technique (T1059.001) used to bypass logging and detection,  hiding the true intent of the PowerShell script from basic log inspection."
A19,100204,T1021.002/T1569.002,2026-07-06T13:34:40.469Z,2026-07-06T13:34:42.750Z,2.281,2026-07-10T14:36:03Z,2026-07-10T14:47:46Z,unassisted,True Positive,TRUE,,,TRUE POSITIVE: PsExec service binary (PSEXESVC.exe) executed from C:\Windows directory. PsExec is the Sysinternals tool used for remote administration that is frequently abused for lateral movement (T1021.002) and service execution (T1569.002). The execution of PSEXESVC.exe indicates either remote execution through SMB/Admin shares or local service creation. This is a classic lateral movement technique allowing attackers to run commands on remote systems.
A20,100100,benign,2026-07-08T10:45:01Z,2026-07-08T10:45:03.428Z,2.428,2026-07-10T15:09:04Z,2026-07-10T15:14:04Z,unassisted,Benign,TRUE,,,"BENIGN SALTED: /etc/shadow read by cron daemon (uid=0,  auid=4294967295). Cron is the legitimate system scheduler service with ppid=1. System processes like cron may read shadow file as part of their normal operations (for user authentication checks,  process accounting,  etc.). The auid=4294967295 indicates this is a system/daemon context,  not a user-invoked process. While this matches T1003.008 pattern,  it's legitimate system operation by cron, not malicious credential access."
A01,100103,T1053.003,2026-07-08T15:59:27Z,2026-07-08T15:59:29.485Z,2.485,2026-07-15T00:20:27Z,2026-07-15T00:30:15Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly identified T1053.003, matching our analysis of cron file modification by tee as root. The audit.key ‘t1053_003_cron’ and privilege escalation (auid=1000 → uid=0) confirm malicious persistence. AI was helpful, reducing triage time."
A02,100205,benign,2026-07-05T10:45:36.611Z,2026-07-05T10:45:40.678Z,4.067,2026-07-15T00:36:27Z,2026-07-15T00:52:03Z,assisted,Benign,TRUE,True Positive,FALSE,"AI incorrectly labelled as true positive (T1547.001). However, msedge.exe is a legitimate browser and the registry key is standard Edge auto-launch functionality. The AI missed the process context; I spent additional time verifying the benign nature. Ultimately concluded benign."
A03,100202,T1218,2026-07-05T15:40:13.681Z,2026-07-05T15:40:42.917Z,29.236,2026-07-15T09:27:27Z,2026-07-15T09:44:57Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly flagged mshta.exe abuse (T1218) with VBScript calling PowerShell. The suspicious command line and LOLBin usage are clear indicators. AI’s query suggestions were useful, speeding up confirmation."
A04,100105,T1037,2026-07-08T19:42:45Z,2026-07-08T19:42:46.711Z,1.711,2026-07-15T09:58:00Z,2026-07-15T10:06:30Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly identified T1037 (init script modification). The file /etc/init.d/amtest_t1037_… created by tee as root, with audit.key ‘t1037_init’, confirms persistence. AI helped reduce triage time."
A05,100205,T1547.001,2026-07-05T16:05:21.898Z,2026-07-05T16:05:26.372Z,4.474,2026-07-15T10:18:23Z,2026-07-15T10:23:17Z,assisted,True Positive,TRUE,True Positive,TRUE,AI correctly called out T1547.001 (registry Run key) with AMTest value created by reg.exe. The unusual key name and use of reg.exe for persistence are suspicious. AI was helpful.
A06,100116,T1098.004,2026-07-08T10:35:08Z,2026-07-08T10:35:09.734Z,1.734,2026-07-15T10:32:23Z,2026-07-15T10:40:41Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly flagged SSH authorized_keys modification (T1098.004). The access to /root/.ssh/authorized_keys by bash as root is a clear persistence mechanism. AI’s reasoning was sound, reducing triage effort."
A07,100109,benign,2026-07-08T17:19:54Z,2026-07-08T17:19:54.669Z,0.669,2026-07-15T11:04:14Z,2026-07-15T11:10:14Z,assisted,Benign,TRUE,True Positive,FALSE,"AI incorrectly suggested true positive for setuid change. However, this was a legitimate dconf-service operation on the user’s own config file (/home/notroot/.config/dconf/user). No privilege escalation occurred. AI’s false positive increased triage time as I had to verify context."
A08,100203,benign,2026-07-05T19:31:04.376Z,2026-07-05T19:31:06.116Z,1.740,2026-07-15T11:12:14Z,2026-07-15T11:19:00Z,assisted,Benign,TRUE,True Positive,FALSE,"AI incorrectly flagged LSASS access by MsMpEng.exe as credential dumping. However, MsMpEng.exe is Windows Defender, a legitimate security process, and the grantedAccess (0x3600) is not the full access typical of dumping tools (0x1fffff). AI’s lack of context led to extra investigation time."
A09,100102,T1548.003,2026-07-08T15:53:51Z,2026-07-08T15:53:52.816Z,1.816,2026-07-15T11:23:14Z,2026-07-15T11:29:32Z,assisted,True Positive,TRUE,True Positive,TRUE,AI correctly identified sudoers modification (T1548.003). The creation of /etc/sudoers.d/amtest by tee as root is a clear privilege‑escalation persistence. AI assisted in quick confirmation.
A10,100200,T1566/T1059,2026-07-04T18:31:22.294Z,2026-07-04T18:31:21.946Z,0.000,2026-07-15T11:38:51Z,2026-07-15T11:45:51Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly pointed out Office macro spawning cmd.exe, with winword.exe running from Temp. This is a classic phishing/malware execution (T1566/T1059). AI was helpful, though the negative latency required note."
A11,100203,benign,2026-07-05T19:30:15.23Z,2026-07-05T19:30:17.657Z,2.427,2026-07-15T12:20:51Z,2026-07-15T12:32:03Z,assisted,Benign,TRUE,True Positive,FALSE,"AI incorrectly suggested true positive for wazuh-agent.exe LSASS access. However, wazuh-agent is a legitimate security tool and its full access (0x1fffff) is necessary for monitoring. AI’s false positive caused extra time to verify the process legitimacy."
A12,100104,benign,2026-07-08T11:41:52Z,2026-07-08T11:41:53.842Z,1.842,2026-07-15T12:38:17Z,2026-07-15T12:46:55Z,assisted,Benign,TRUE,True Positive,FALSE,"AI misclassified systemd modification by snapd as malicious. However, snapd is a legitimate package manager, and its systemd unit operations are normal system activity. The auid=4294967295 (system context) further indicates benign. AI’s error increased triage time."
A13,100101,T1136/T1098,2026-07-08T11:19:33Z,2026-07-08T11:19:34.418Z,1.418,2026-07-15T12:47:27Z,2026-07-15T12:57:15Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly identified useradd modifying /etc/passwd, indicating account creation/manipulation (T1136/T1098). The privilege escalation (auid=1000 → uid=0) confirms malicious intent. AI helped speed up triage."
A14,100203,T1003.001,2026-07-05T19:33:38.621Z,2026-07-05T19:33:40.750Z,2.129,2026-07-15T13:04:25Z,2026-07-15T13:10:04Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly flagged rundll32.exe accessing LSASS with full access (0x1fffff) – a classic credential dumping technique (T1003.001). AI’s reasoning was accurate, reducing analysis time."
A15,100206,T1048/T1071.004,2026-07-06T16:20:19.424Z,2026-07-06T16:20:22.901Z,3.477,2026-07-15T13:17:10Z,2026-07-15T13:23:28Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly identified the long‑label DNS query from PowerShell, which is indicative of DNS tunneling/exfiltration (T1048/T1071.004). The query pattern and process context are suspicious. AI was helpful."
A16,100111,T1070,2026-07-08T17:53:17Z,2026-07-08T17:53:19.590Z,2.590,2026-07-15T13:31:10Z,2026-07-15T13:38:58Z,assisted,True Positive,TRUE,True Positive,TRUE,AI correctly flagged modification of /var/log/btmp as indicator removal (T1070). The bash process running as root with auid=1000 is a clear defense evasion attempt. AI’s suggestion was accurate and saved time.
A17,100108,T1547.006/T1014,2026-07-08T17:29:09Z,2026-07-08T17:29:11.354Z,2.354,2026-07-15T13:46:18Z,2026-07-15T13:55:37Z,assisted,True Positive,TRUE,True Positive,TRUE,AI correctly identified modprobe execution as kernel module manipulation (T1547.006/T1014). The user escalating to root to load modules is a strong rootkit indicator. AI helpful.
A18,100201,T1059.001,2026-07-05T10:21:38.629Z,2026-07-05T10:21:42.689Z,4.060,2026-07-15T14:21:37Z,2026-07-15T14:29:19Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly called out encoded PowerShell command (T1059.001). The -EncodedCommand with suspicious base64 is a classic obfuscation technique. AI provided useful queries, reducing triage time."
A19,100204,T1021.002/T1569.002,2026-07-06T13:34:40.469Z,2026-07-06T13:34:42.750Z,2.281,2026-07-15T14:36:03Z,2026-07-15T14:44:15Z,assisted,True Positive,TRUE,True Positive,TRUE,"AI correctly flagged PsExec service execution (T1021.002/T1569.002), a common lateral movement tool. The presence of PSEXESVC.exe is a strong indicator. AI was helpful and sped up confirmation."
A20,100100,benign,2026-07-08T10:45:01Z,2026-07-08T10:45:03.428Z,2.428,2026-07-15T15:09:04Z,2026-07-15T15:15:02Z,assisted,Benign,TRUE,True Positive,FALSE,"AI incorrectly suggested true positive for cron reading /etc/shadow. However, cron is a system daemon (ppid=1, auid=4294967295) and such reads are part of normal operations. The AI failed to recognize system context, increasing triage time to verify benign nature."
