alert_id,ground_truth,model,view,disposition,confidence,summary,investigation_queries,draft_user_message,caveats,auto_summary_lines,auto_summary_over_5,auto_unknown_entities,auto_queries_count,auto_queries_syntactic,auto_draft_present,auto_tid_in_summary,summary_supported(Y/N/partial),unsupported_statement_count(int),queries_valid(Y/N),queries_relevant(Y/N),draft_appropriate(Y/N),confidence_calibrated(Y/N),reviewer_notes
A11,benign,gpt-5.5,operational,needs_investigation,medium,"Sysmon CLI alert on host win-victim for LSASS access by C:\Program Files (x86)\ossec-agent\wazuh-agent.exe. | Granted access mask 0x1fffff indicates very high/full process access to LSASS. | Alert is mapped to Credential Access: LSASS Memory dumping. | Source process appears to be the Wazuh agent, which may be legitimate security tooling but should be validated.","agent.name:""win-victim"" AND rule.id:""100203"" AND data.win.eventdata.targetImage:*lsass.exe | agent.name:""win-victim"" AND data.win.eventdata.sourceImage:""C:\Program Files (x86)\ossec-agent\wazuh-agent.exe"" AND data.win.eventdata.grantedAccess:""0x1fffff"" | agent.name:""win-victim"" AND @timestamp:[""2026-07-05T19:20:00Z"" TO ""2026-07-05T19:40:00Z""] AND (data.win.system.eventID:1 OR data.win.system.eventID:7 OR data.win.system.eventID:10 OR data.win.system.eventID:11)","We are reviewing a security alert involving the Wazuh agent on your Windows system. Please let us know if any agent update, security scan, troubleshooting, or maintenance was occurring around 2026-07-05 19:30 UTC.","Potential false positive because the source process appears to be Wazuh agent, but full-access LSASS access should be validated; alert timing fields/notes appear inconsistent.",4,,C:\Program,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; draft cautious; medium confidence reasonable for a likely false positive.
A12,benign,gpt-5.5,operational,likely_benign,medium,"Root-owned snapd process modified/created a systemd mount unit file under /etc/systemd/system. | File path resembles a temporary snapd-generated unit: /etc/systemd/system/snap-snapd-27406.mount.Ph97MJnHTvYL~. | Process was /usr/lib/snapd/snapd with parent PID 1 and no interactive TTY, consistent with normal snapd service activity. | Alert maps to systemd persistence monitoring, but the observed process/file naming is commonly associated with legitimate snap refresh/update behavior.","agent.name:""linux-victim"" AND data.audit.key:""t1543_002_systemd"" AND data.audit.file:/etc/systemd/system/snap-* | agent.name:""linux-victim"" AND data.audit.exe:""/usr/lib/snapd/snapd"" AND timestamp:[2026-07-08T11:30:00Z TO 2026-07-08T11:55:00Z] | agent.name:""linux-victim"" AND (data.audit.file:/etc/systemd/system/* OR rule.description:*systemd*) AND timestamp:[2026-07-08T11:30:00Z TO 2026-07-08T11:55:00Z]","Hi, we saw snapd modifying a systemd mount unit on linux-victim. This often occurs during normal snap refresh activity; can you confirm whether snap updates or maintenance were expected around 2026-07-08 11:41 UTC?","Likely false positive from legitimate snapd behavior, but verify snapd package integrity and surrounding systemd changes if snap is not expected on this host.",4,,/etc/systemd/system.,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; queries and draft are appropriate; medium confidence fine.
A13,T1136/T1098,gpt-5.5,operational,needs_investigation,medium,"Linux auditd recorded a successful user account database modification on linux-victim. | Command was /usr/sbin/useradd with euid=0, indicating root privileges were used. | Original login audit user was auid=1000 from interactive TTY pts1, cwd=/home/notroot. | Target file was /etc/passwd, consistent with local account creation or modification. | Alert fired about 1.4 seconds after the audited event.","agent.name:""linux-victim"" AND data.audit.pid:""45112"" | agent.name:""linux-victim"" AND (data.audit.command:""useradd"" OR data.audit.exe:""/usr/sbin/useradd"" OR data.audit.file:(""/etc/passwd"" OR ""/etc/shadow"" OR ""/etc/group"")) AND @timestamp:[2026-07-08T11:14:33Z TO 2026-07-08T11:24:33Z] | agent.name:""linux-victim"" AND data.audit.auid:""1000"" AND @timestamp:[2026-07-08T10:49:33Z TO 2026-07-08T11:49:33Z]","Hi, we saw a privileged user account change on linux-victim around 2026-07-08 11:19 UTC from your session context. Can you confirm whether you were creating or modifying a local Linux account at that time?",Could be legitimate administrative account creation via sudo/root; validate the intended new account and the activity by auid=1000 before treating as malicious.,5,,/home/notroot.,3,3/3,yes,,Y,0,Y,Y,Y,Y,All traceable; medium confidence appropriate.
A14,T1003.001,gpt-5.5,operational,likely_true_positive,high,"Wazuh/Sysmon alert reports C:\WINDOWS\system32\rundll32.exe accessing LSASS on host win-victim. | GrantedAccess value 0x1fffff indicates very high/full process access, which is strongly suspicious for credential dumping. | Alert metadata maps the behavior to MITRE ATT&CK T1003.001 LSASS Memory under Credential Access. | Detection occurred about 2.1 seconds after the recorded event time.","agent.name:""win-victim"" AND data.win.eventdata.sourceImage:""C:\WINDOWS\system32\rundll32.exe"" AND data.win.eventdata.targetImage:*lsass.exe* | agent.name:""win-victim"" AND data.win.system.eventID:1 AND data.win.eventdata.image:""C:\WINDOWS\system32\rundll32.exe"" | agent.name:""win-victim"" AND (data.win.system.eventID:10 OR rule.id:100203) AND data.win.eventdata.grantedAccess:""0x1fffff""","Hi, we are reviewing a security alert from your Windows system involving a system process accessing credential-related memory. Please let us know if you were running any administrative, diagnostic, security, or troubleshooting tools around 2026-07-05 19:33 UTC.","High-access LSASS reads by rundll32.exe are suspicious, but confirm parent process, command line, loaded DLL, user context, and any approved security/admin tooling before final disposition; no prompt-injection attempt observed in the alert data.",4,,C:\WINDOWS\system32\rundll32.exe,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All supported; high confidence warranted; draft appropriate.
A15,T1048/T1071.004,gpt-5.5,operational,needs_investigation,medium,"Sysmon DNS telemetry on win-victim detected a PowerShell 7 process querying a DNS name with an unusually long label. | Queried domain: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-am-t1071dns-20260706214941.alertmind-lab.invalid. | Rule mapped the behavior to possible DNS tunneling/C2 or exfiltration over DNS. | The domain contains lab/test indicators such as alertmind-lab.invalid and am-t1071dns, which may indicate a controlled simulation.","agent.name:""win-victim"" AND data.win.eventdata.queryName:""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-am-t1071dns-20260706214941.alertmind-lab.invalid"" | agent.name:""win-victim"" AND data.win.eventdata.image:*pwsh.exe AND @timestamp:[2026-07-06T16:15:00Z TO 2026-07-06T16:25:00Z] | agent.name:""win-victim"" AND data.win.eventdata.queryName:*alertmind-lab.invalid* AND @timestamp:[2026-07-06T16:00:00Z TO 2026-07-06T17:00:00Z]","Hi, we observed a PowerShell process on your Windows system making a DNS lookup that matched a tunneling-style detection. Can you confirm whether you were running any lab, testing, or security validation activity around 2026-07-06 16:20 UTC?","The queried domain appears lab/test-related, so this may be benign simulation activity; no prompt-injection attempt was observed in the alert data.",4,,,3,3/3,yes,,Y,0,Y,Y,Y,Y,All traceable; queries valid; draft good; medium confidence.
A16,T1070,gpt-5.5,operational,likely_true_positive,medium,"Root-equivalent bash session on linux-victim accessed/modified /var/log/btmp, the failed-login history file. | Audit context shows auid=1000 with uid/euid=0 from tty pts1 and cwd=/home/notroot, suggesting a user escalated to root before the action. | This aligns with defense evasion via login/session log tampering. | Detection fired within about 2.6 seconds of the audit event.","agent.name:""linux-victim"" AND (audit.pid:""53346"" OR audit.ppid:""53345"" OR audit.serial:""77955"") | agent.name:""linux-victim"" AND audit.auid:""1000"" AND audit.uid:""0"" AND @timestamp:[2026-07-08T17:43:00Z TO 2026-07-08T18:03:00Z] | agent.name:""linux-victim"" AND (audit.file:""/var/log/btmp"" OR audit.file:""/var/log/wtmp"" OR audit.file:""/run/utmp"" OR audit.file:""/var/run/utmp"")","Hi, we’re reviewing a security alert involving a root shell session on linux-victim that accessed the failed-login log around 2026-07-08 17:53 UTC. Can you confirm whether you were performing any approved log maintenance or troubleshooting at that time?","Could be authorized administrative maintenance, but bash/root modification of btmp from a user session is unusual and should be validated against session history and surrounding audit events.",4,,,3,3/3,yes,,Y,0,Y,Y,Y,Y,Supported; medium confidence appropriate.
A17,T1547.006/T1014,gpt-5.5,operational,needs_investigation,medium,"Host linux-victim executed modprobe via /usr/bin/kmod with root effective UID. | Audit syscall succeeded at 2026-07-08T17:29:09Z from tty pts1, PID 51813. | Original login user appears to be auid 1000 escalating/operating as root. | Alert maps to kernel module load activity, which can be legitimate administration or LKM rootkit persistence/evasion.","agent.name:""linux-victim"" AND (audit.pid:""51813"" OR audit.ppid:""51812"" OR audit.serial:""76435"") | agent.name:""linux-victim"" AND audit.key:""t1547_006_kmod"" AND @timestamp:[2026-07-08T17:00:00Z TO 2026-07-08T18:00:00Z] | agent.name:""linux-victim"" AND audit.auid:""1000"" AND (audit.command:(""modprobe"" OR ""insmod"" OR ""rmmod"" OR ""kmod"") OR audit.exe:""/usr/bin/kmod"")","Hi, we saw a kernel module management command run with root privileges on linux-victim around 2026-07-08 17:29 UTC. Can you confirm whether you were performing system or driver maintenance at that time?","No prompt-injection attempt noticed; module name and full command arguments are not present, so legitimate admin/driver activity cannot be ruled out.",4,,,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; medium confidence is right given ambiguity.
A18,T1059.001,gpt-5.5,operational,likely_benign,medium,"PowerShell executed on win-victim with -NoProfile and -EncodedCommand. | Encoded payload decodes to a benign-looking test string: ""AlertMind Encoded PowerShell Test"". | Alert mapped to MITRE ATT&CK T1059.001 PowerShell execution. | Detection latency was approximately 4 seconds after process execution.","agent.name:""win-victim"" AND data.win.eventdata.image:*\\powershell.exe AND data.win.eventdata.commandLine:*EncodedCommand* | agent.name:""win-victim"" AND data.win.eventdata.utcTime:[""2026-07-05 10:15:00"" TO ""2026-07-05 10:30:00""] | data.win.eventdata.commandLine:*""AlertMind Encoded PowerShell Test""* OR data.win.eventdata.commandLine:*QQBsAGUAcgB0AE0AaQBuAGQAIABFAG4AYwBvAGQAZQBkACAAUABvAHcAZQByAFMAaABlAGwAbAAgAFQAZQBzAHQA*","Hi, we observed a PowerShell command run on win-victim that appears to be an encoded-command test. Can you confirm whether you or a tool intentionally ran a PowerShell detection validation around 2026-07-05 10:21 UTC?","Encoded PowerShell is commonly suspicious, but the decoded content appears to be a test string; confirm parent process, initiating user, and expected testing activity before closing.",4,,,3,3/3,yes,FLAG,Y,0,Y,Y,Y,Y,All traceable; medium confidence appropriate for likely benign test.
A19,T1021.002/T1569.002,gpt-5.5,operational,needs_investigation,medium,Sysmon process execution detected C:\Windows\PSEXESVC.exe on agent win-victim. | PSEXESVC.exe is the temporary service binary commonly created by PsExec for remote command execution. | Alert maps to lateral movement / service execution over SMB admin shares. | Execution occurred at 2026-07-06T13:34:40.469Z with alert latency about 2.3 seconds. | Could be legitimate administrator activity if PsExec was authorized.,"agent.name:""win-victim"" AND (data.win.eventdata.image:""C:\Windows\PSEXESVC.exe"" OR data.win.eventdata.commandLine:""C:\WINDOWS\PSEXESVC.exe"") | agent.name:""win-victim"" AND data.win.system.eventID:(7045 OR 7036 OR 4624 OR 4672) AND @timestamp:[""2026-07-06T13:20:00Z"" TO ""2026-07-06T13:50:00Z""] | agent.name:""win-victim"" AND @timestamp:[""2026-07-06T13:20:00Z"" TO ""2026-07-06T13:50:00Z""] AND (data.win.eventdata.targetFilename:*PSEXESVC* OR data.win.eventdata.shareName:*ADMIN$* OR data.win.eventdata.logonType:""3"")",We observed PsExec-related service activity on win-victim around 2026-07-06 13:34 UTC. Can you confirm whether authorized remote administration or troubleshooting was being performed at that time?,PsExec/PSEXESVC can be legitimate admin activity; confirm initiating user/source host and whether this was expected before containment.,5,,C:\Windows\PSEXESVC.exe,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; medium confidence for possible admin use.
A20,benign,gpt-5.5,operational,likely_benign,medium,"linux-victim generated an auditd alert for successful read/open of /etc/shadow. | The accessing process was /usr/sbin/cron running as root with no TTY and auid unset. | This pattern can occur during legitimate cron/PAM account checks, but it still maps to credential access telemetry. | No interactive user, shell, or credential-dumping tool is visible in the provided fields.","agent.name:""linux-victim"" AND (data.audit.pid:""43800"" OR audit.pid:""43800"") AND @timestamp:[2026-07-08T10:40:00Z TO 2026-07-08T10:50:00Z] | agent.name:""linux-victim"" AND (data.audit.file:""/etc/shadow"" OR audit.file:""/etc/shadow"") AND @timestamp:[2026-07-08T10:15:00Z TO 2026-07-08T11:15:00Z] | agent.name:""linux-victim"" AND (data.audit.exe:""/usr/sbin/cron"" OR audit.exe:""/usr/sbin/cron"") AND @timestamp:[2026-07-08T10:40:00Z TO 2026-07-08T10:50:00Z]","Hi, we observed a scheduled cron process on linux-victim accessing /etc/shadow around 10:45 UTC. This is often normal for scheduled job account checks, but could you confirm whether any cron activity was expected at that time?","Likely false positive from legitimate cron/PAM behavior, but confirm the related cron job and look for nearby suspicious child processes or repeated shadow reads.",4,,/etc/shadow.,3,3/3,yes,,Y,0,Y,Y,Y,Y,All supported; draft appropriately cautious; medium confidence is fine.
